propagator type,test type,domain group,test id,timeout,runtime,requested solutions,solutions,propagations,nodes,failures,peak depth
AdvModulo,B,10,0,False,0.0,16,0,0,0,1,0
Linear,B,10,0,False,0.0,16,0,0,0,1,0
Modulo,B,10,0,False,0.002,16,0,0,0,1,0
AdvModulo,B,10,10,False,0.011,16,16,660,411,188,13
Linear,B,10,10,False,0.009,16,16,413,411,188,13
Modulo,B,10,10,False,0.018,16,16,660,411,188,13
AdvModulo,B,10,11,True,10.002,16,0,953378,895486,447741,13
Linear,B,10,11,False,0.532,16,16,39271,39266,19615,13
Modulo,B,10,11,True,10.001,16,0,1072163,1007419,503707,13
AdvModulo,B,10,12,True,14.307,16,0,363,339,168,12
Linear,B,10,12,False,0.274,16,16,25231,25228,12596,13
Modulo,B,10,12,True,12.572,16,0,363,339,168,12
AdvModulo,B,10,13,False,7.176,16,16,570447,532119,266042,13
Linear,B,10,13,False,0.525,16,16,50681,50670,25317,13
Modulo,B,10,13,False,6.338,16,16,570447,532119,266042,13
AdvModulo,B,10,14,True,10.001,16,0,788781,757898,378948,19
Linear,B,10,14,False,0.267,16,16,18844,18842,9403,13
Modulo,B,10,14,True,10.001,16,0,927949,890639,445318,19
AdvModulo,B,10,15,False,0.284,16,16,29276,15530,7747,16
Linear,B,10,15,False,0.144,16,16,15582,15530,7747,16
Modulo,B,10,15,False,0.243,16,16,29276,15530,7747,16
AdvModulo,B,10,16,False,0.102,16,0,3256,3135,1568,17
Linear,B,10,16,False,0.28,16,16,13135,13133,6549,13
Modulo,B,10,16,False,0.091,16,0,3256,3135,1568,17
AdvModulo,B,10,17,False,2.836,16,16,347985,216884,108424,16
Linear,B,10,17,False,1.553,16,16,217127,216884,108424,16
Modulo,B,10,17,False,2.492,16,16,347985,216884,108424,16
AdvModulo,B,10,18,False,0.094,16,0,4564,4401,2201,9
Linear,B,10,18,False,0.392,16,16,38596,38578,19271,13
Modulo,B,10,18,False,0.077,16,0,4564,4401,2201,9
AdvModulo,B,10,19,True,17.375,16,0,3157,2913,1456,10
Linear,B,10,19,False,0.259,16,16,27418,27414,13689,13
Modulo,B,10,19,True,16.14,16,0,3157,2913,1456,10
AdvModulo,B,10,1,False,0.0,16,0,0,0,1,0
Linear,B,10,1,False,0.0,16,0,0,0,1,0
Modulo,B,10,1,False,0.0,16,0,0,0,1,0
AdvModulo,B,10,20,True,17.499,16,0,1014,970,484,10
Linear,B,10,20,False,0.748,16,16,38049,38046,19005,13
Modulo,B,10,20,True,16.916,16,0,1014,970,484,10
AdvModulo,B,10,21,True,10.001,16,1,777801,721839,360917,13
Linear,B,10,21,False,0.53,16,16,40813,40808,20386,13
Modulo,B,10,21,True,10.002,16,1,832777,772237,386116,13
AdvModulo,B,10,22,False,0.003,16,0,202,201,101,1
Linear,B,10,22,False,0.222,16,16,14702,14700,7332,13
Modulo,B,10,22,False,0.006,16,0,202,201,101,1
AdvModulo,B,10,23,True,10.001,16,8,893925,860005,429993,13
Linear,B,10,23,False,0.246,16,16,33747,33744,16854,13
Modulo,B,10,23,True,10.008,16,8,1032569,993393,496687,13
AdvModulo,B,10,24,False,0.167,16,16,17972,11356,5660,13
Linear,B,10,24,False,0.111,16,16,11359,11356,5660,13
Modulo,B,10,24,False,0.145,16,16,17972,11356,5660,13
AdvModulo,B,10,25,False,3.506,16,16,446927,270628,135296,16
Linear,B,10,25,False,1.85,16,16,271212,270628,135296,16
Modulo,B,10,25,False,3.102,16,16,446927,270628,135296,16
AdvModulo,B,10,26,True,10.001,16,2,906697,846789,423390,13
Linear,B,10,26,False,0.368,16,16,25762,25758,12861,13
Modulo,B,10,26,True,10.003,16,2,1125668,1052904,526448,13
AdvModulo,B,10,27,False,0.003,16,0,202,201,101,1
Linear,B,10,27,False,0.582,16,16,49779,49774,24869,14
Modulo,B,10,27,False,0.005,16,0,202,201,101,1
AdvModulo,B,10,28,True,10.001,16,6,692568,665260,332623,18
Linear,B,10,28,False,0.229,16,16,16617,16614,8289,13
Modulo,B,10,28,True,10.001,16,10,825368,792873,396425,18
AdvModulo,B,10,29,False,0.12,16,16,8022,7415,3690,17
Linear,B,10,29,False,0.145,16,16,16415,16412,8188,14
Modulo,B,10,29,False,0.099,16,16,8022,7415,3690,17
AdvModulo,B,10,2,False,0.004,16,16,62,34,0,10
Linear,B,10,2,False,0.007,16,16,35,34,0,10
Modulo,B,10,2,False,0.015,16,16,62,34,0,10
AdvModulo,B,10,30,True,10.001,16,0,781220,749006,374501,13
Linear,B,10,30,False,0.416,16,16,26761,26758,13361,13
Modulo,B,10,30,True,10.003,16,0,1011091,964205,482101,13
AdvModulo,B,10,31,False,0.007,16,16,65,36,0,11
Linear,B,10,31,False,0.003,16,16,37,36,0,11
Modulo,B,10,31,False,0.014,16,16,65,36,0,11
AdvModulo,B,10,33,True,10.001,16,0,1795140,301406,150702,10
Linear,B,10,33,True,10.001,16,0,1964376,420754,210376,10
Modulo,B,10,33,True,10.001,16,0,2085649,352708,176353,10
AdvModulo,B,10,35,False,0.016,16,16,2384,514,240,10
Linear,B,10,35,False,0.013,16,16,1839,514,240,10
